SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON
22022,1627759,0022201116,"Mar 26, 2023",BOS vs. SAS,W,36,18,29,0.621,2,10,0.2,3,5,0.6,1,12,13,3,1,0,5,1,41,28,1,2022-23
22024,1627759,0022401058,"Mar 26, 2025",BOS @ PHX,W,28,7,15,0.467,4,9,0.444,6,6,1.0,0,3,3,5,1,0,1,4,24,24,1,2024-25
22022,1627759,0022201130,"Mar 28, 2023",BOS @ WAS,L,27,9,19,0.474,0,4,0.0,0,0,0.0,1,2,3,4,1,0,4,1,18,-24,1,2022-23
22023,1627759,0022301060,"Mar 28, 2024",BOS @ ATL,L,39,9,17,0.529,0,3,0.0,0,0,0.0,0,1,1,4,2,2,3,3,18,8,1,2023-24
22024,1627759,0022401080,"Mar 29, 2025",BOS @ SAS,W,30,6,9,0.667,1,4,0.25,1,2,0.5,0,2,2,4,0,0,2,3,14,0,1,2024-25
22022,1627759,0022201146,"Mar 30, 2023",BOS @ MIL,W,32,13,20,0.65,3,5,0.6,1,2,0.5,0,5,5,5,1,0,1,2,30,29,1,2022-23
22023,1627759,0022301074,"Mar 30, 2024",BOS @ NOP,W,35,6,16,0.375,3,4,0.75,2,2,1.0,2,5,7,6,1,1,2,2,17,4,1,2023-24
22022,1627759,0022201152,"Mar 31, 2023",BOS vs. UTA,W,34,5,19,0.263,0,5,0.0,2,2,1.0,0,2,2,4,1,0,3,3,12,-5,1,2022-23
22023,1627759,0022300118,"Nov 01, 2023",BOS vs. IND,W,25,7,15,0.467,0,1,0.0,2,2,1.0,1,6,7,1,0,0,2,3,16,22,1,2023-24
22024,1627759,0022400132,"Nov 01, 2024",BOS @ CHA,W,37,8,19,0.421,0,6,0.0,9,10,0.9,3,3,6,5,1,1,1,3,25,11,1,2024-25
22022,1627759,0022200107,"Nov 02, 2022",BOS @ CLE,L,45,10,26,0.385,3,10,0.3,7,7,1.0,2,6,8,4,1,0,3,5,30,7,1,2022-23
22022,1627759,0022200124,"Nov 04, 2022",BOS vs. CHI,W,34,6,14,0.429,0,3,0.0,4,5,0.8,1,4,5,2,0,0,3,2,16,-13,1,2022-23
22023,1627759,0022300136,"Nov 04, 2023",BOS @ BKN,W,35,7,22,0.318,2,11,0.182,7,8,0.875,0,5,5,4,0,1,2,4,23,6,1,2023-24
22022,1627759,0022200135,"Nov 05, 2022",BOS @ NYK,W,37,10,19,0.526,6,11,0.545,4,4,1.0,2,3,5,3,0,0,1,5,30,-5,1,2022-23
22023,1627759,0022300154,"Nov 06, 2023",BOS @ MIN,L,39,10,21,0.476,3,8,0.375,3,4,0.75,0,7,7,4,1,0,3,5,26,-16,1,2023-24
22022,1627759,0022200152,"Nov 07, 2022",BOS @ MEM,W,38,8,20,0.4,1,6,0.167,4,5,0.8,0,9,9,2,1,0,7,4,21,-6,1,2022-23
22023,1627759,0022300159,"Nov 08, 2023",BOS @ PHI,L,36,4,13,0.308,2,7,0.286,1,2,0.5,0,2,2,2,1,1,4,2,11,-3,1,2023-24
22022,1627759,0022200163,"Nov 09, 2022",BOS vs. DET,W,30,11,19,0.579,2,6,0.333,6,7,0.857,2,5,7,3,1,0,0,0,30,25,1,2022-23
22023,1627759,0022300010,"Nov 10, 2023",BOS vs. BKN,W,29,10,19,0.526,5,9,0.556,3,5,0.6,0,3,3,5,1,0,3,0,28,6,1,2023-24
22024,1627759,0022400202,"Nov 10, 2024",BOS @ MIL,W,37,4,13,0.308,1,5,0.2,5,6,0.833,0,5,5,4,0,0,1,3,14,6,1,2024-25
22022,1627759,0022200176,"Nov 11, 2022",BOS vs. DEN,W,35,11,15,0.733,3,4,0.75,0,0,0.0,0,8,8,8,0,0,3,3,25,8,1,2022-23
22023,1627759,0022300174,"Nov 11, 2023",BOS vs. TOR,W,32,12,20,0.6,3,8,0.375,2,3,0.667,1,4,5,2,0,0,2,1,29,9,1,2023-24
22024,1627759,0022400001,"Nov 12, 2024",BOS vs. ATL,L,36,14,22,0.636,3,6,0.5,6,10,0.6,2,3,5,2,1,0,6,3,37,0,1,2024-25
22023,1627759,0022300188,"Nov 13, 2023",BOS vs. NYK,W,36,7,18,0.389,2,9,0.222,6,6,1.0,1,4,5,6,1,1,3,3,22,17,1,2023-24
22024,1627759,0022400218,"Nov 13, 2024",BOS @ BKN,W,36,8,19,0.421,2,5,0.4,6,9,0.667,2,10,12,4,1,0,0,2,24,27,1,2024-25
22022,1627759,0022200201,"Nov 14, 2022",BOS vs. OKC,W,41,11,21,0.524,0,5,0.0,4,6,0.667,0,6,6,6,2,0,5,4,26,6,1,2022-23
22022,1627759,0022200214,"Nov 16, 2022",BOS @ ATL,W,23,10,17,0.588,1,6,0.167,1,2,0.5,0,5,5,0,2,0,3,4,22,10,1,2022-23
22024,1627759,0022400230,"Nov 16, 2024",BOS vs. TOR,W,43,8,16,0.5,2,7,0.286,9,10,0.9,2,4,6,7,0,1,3,5,27,2,1,2024-25
22023,1627759,0022300031,"Nov 17, 2023",BOS @ TOR,W,36,9,14,0.643,3,5,0.6,2,3,0.667,0,3,3,4,1,1,3,2,23,4,1,2023-24
22022,1627759,0022200231,"Nov 18, 2022",BOS @ NOP,W,37,10,20,0.5,3,6,0.5,4,5,0.8,3,7,10,7,2,0,7,2,27,5,1,2022-23
