SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PTS_L1,PTS_L3,PTS_L5,MIN_L3,FGA_L3,HOME,REST_DAYS,PTS_next_game
22024,1627759,22400728,2025-02-06,BOS vs. DAL,L,33,9,16,0.563,3,4,0.75,4,4,1.0,0,5,5,2,1,0,3,1,25,-15,1,2024-25,16.0,21.333333333333332,19.6,36.333333333333336,16.666666666666668,1,2.0,15.0
22023,1627759,22300729,2024-02-07,BOS vs. ATL,W,34,7,11,0.636,0,2,0.0,1,1,1.0,0,6,6,6,1,0,2,4,15,-3,1,2023-24,25.0,22.666666666666668,19.4,33.333333333333336,16.333333333333332,1,-365.0,4.0
22022,1627759,22200824,2023-02-08,BOS vs. PHI,W,18,2,9,0.222,0,4,0.0,0,0,0.0,0,2,2,3,0,0,2,2,4,-2,1,2022-23,15.0,18.666666666666668,20.8,31.666666666666668,13.0,1,-364.0,12.0
22024,1627759,22400748,2025-02-08,BOS @ NYK,W,32,5,14,0.357,0,3,0.0,2,2,1.0,1,2,3,5,3,1,4,3,12,9,1,2024-25,4.0,14.666666666666666,17.4,28.333333333333332,12.0,0,731.0,18.0
22023,1627759,22300743,2024-02-09,BOS vs. WAS,W,35,9,15,0.6,0,1,0.0,0,0,0.0,1,6,7,3,1,0,3,3,18,-15,1,2023-24,12.0,10.333333333333334,14.4,28.0,11.333333333333334,1,-365.0,20.0
22023,1627759,22300759,2024-02-11,BOS @ MIA,W,37,8,16,0.5,3,8,0.375,1,4,0.25,3,6,9,2,0,0,6,1,20,3,1,2023-24,18.0,11.333333333333334,14.8,28.333333333333332,12.666666666666666,0,2.0,19.0
22023,1627759,22300771,2024-02-13,BOS @ BKN,W,37,7,19,0.368,1,6,0.167,4,6,0.667,1,0,1,4,1,0,4,5,19,9,1,2023-24,20.0,16.666666666666668,13.8,34.666666666666664,15.0,0,2.0,20.0
22024,1627759,22400789,2025-02-20,BOS @ PHI,W,27,7,13,0.538,2,6,0.333,4,4,1.0,3,3,6,6,0,0,3,1,20,6,1,2024-25,19.0,19.0,14.6,36.333333333333336,16.666666666666668,0,373.0,21.0
22023,1627759,22300797,2024-02-22,BOS @ CHI,W,33,7,12,0.583,3,5,0.6,4,6,0.667,0,5,5,5,1,1,2,2,21,19,1,2023-24,20.0,19.666666666666668,17.8,33.666666666666664,16.0,0,-364.0,30.0
22022,1627759,22200887,2023-02-23,BOS @ IND,W,43,11,24,0.458,3,5,0.6,5,7,0.714,5,6,11,3,1,0,3,5,30,10,1,2022-23,21.0,20.0,19.6,32.333333333333336,14.666666666666666,0,-364.0,24.0
22024,1627759,22400811,2025-02-23,BOS vs. NYK,W,37,10,21,0.476,2,7,0.286,2,2,1.0,1,7,8,2,2,0,2,2,24,14,1,2024-25,30.0,23.666666666666668,22.0,34.333333333333336,16.333333333333332,1,731.0,30.0
22023,1627759,22300816,2024-02-24,BOS @ NYK,W,35,13,24,0.542,3,9,0.333,1,3,0.333,0,8,8,3,1,0,0,2,30,15,1,2023-24,24.0,25.0,22.8,37.666666666666664,19.0,0,-365.0,26.0
22022,1627759,22200908,2023-02-25,BOS @ PHI,W,37,10,21,0.476,2,4,0.5,4,5,0.8,1,3,4,3,3,0,4,3,26,-6,1,2022-23,30.0,28.0,25.0,38.333333333333336,23.0,0,-364.0,24.0
22024,1627759,22400829,2025-02-25,BOS @ TOR,W,33,10,18,0.556,0,5,0.0,4,4,1.0,1,4,5,4,1,0,3,1,24,5,1,2024-25,26.0,26.666666666666668,26.2,36.333333333333336,22.0,0,731.0,31.0
22023,1627759,22300836,2024-02-27,BOS vs. PHI,W,35,11,14,0.786,1,2,0.5,8,10,0.8,1,5,6,1,1,0,4,4,31,25,1,2023-24,24.0,26.666666666666668,26.8,35.0,21.0,1,-364.0,37.0
22024,1627759,22400852,2025-02-28,BOS vs. CLE,L,34,13,24,0.542,4,6,0.667,7,10,0.7,4,1,5,2,0,0,3,4,37,10,1,2024-25,31.0,27.0,27.0,35.0,17.666666666666668,1,367.0,30.0
22022,1627759,22200549,2023-01-01,BOS @ DEN,L,34,12,20,0.6,4,8,0.5,2,2,1.0,2,6,8,3,1,0,0,3,30,-7,1,2022-23,37.0,30.666666666666668,29.6,34.0,18.666666666666668,0,-789.0,15.0
22023,1627759,22300462,2024-01-02,BOS @ OKC,L,38,4,18,0.222,0,8,0.0,7,8,0.875,2,4,6,3,0,0,4,5,15,-1,1,2023-24,30.0,32.666666666666664,29.6,34.333333333333336,19.333333333333332,0,366.0,29.0
22022,1627759,22200562,2023-01-03,BOS @ OKC,L,25,11,18,0.611,2,7,0.286,5,9,0.556,0,1,1,2,0,0,1,3,29,-28,1,2022-23,15.0,27.333333333333332,27.4,35.333333333333336,20.666666666666668,0,-364.0,19.0
22022,1627759,22200577,2023-01-05,BOS @ DAL,W,30,6,12,0.5,2,5,0.4,5,6,0.833,1,6,7,3,0,2,2,4,19,12,1,2022-23,29.0,24.666666666666668,28.4,32.333333333333336,18.666666666666668,0,2.0,13.0
22023,1627759,22300479,2024-01-05,BOS vs. UTA,W,27,5,12,0.417,2,4,0.5,1,2,0.5,0,3,3,5,1,1,3,2,13,18,1,2023-24,19.0,21.0,26.0,31.0,16.0,1,365.0,21.0
22024,1627759,22400487,2025-01-05,BOS @ OKC,L,40,8,19,0.421,1,6,0.167,4,4,1.0,0,4,4,3,1,1,3,2,21,-7,1,2024-25,13.0,20.333333333333332,21.2,27.333333333333332,14.0,0,366.0,31.0
22023,1627759,22300493,2024-01-06,BOS @ IND,W,36,13,20,0.65,1,4,0.25,4,8,0.5,1,3,4,1,0,1,3,0,31,7,1,2023-24,21.0,17.666666666666668,19.4,32.333333333333336,14.333333333333334,0,-365.0,29.0
22022,1627759,22200591,2023-01-07,BOS @ SAS,W,39,12,26,0.462,2,7,0.286,3,6,0.5,1,3,4,2,2,2,6,4,29,3,1,2022-23,31.0,21.666666666666668,22.6,34.333333333333336,17.0,0,-364.0,14.0
22024,1627759,22400507,2025-01-07,BOS @ DEN,W,38,6,13,0.462,0,1,0.0,2,2,1.0,0,8,8,8,0,0,4,3,14,5,1,2024-25,29.0,27.0,22.6,38.333333333333336,21.666666666666668,0,731.0,40.0
22023,1627759,22300507,2024-01-08,BOS @ IND,L,38,17,26,0.654,3,4,0.75,3,5,0.6,1,4,5,2,0,0,5,2,40,-1,1,2023-24,14.0,24.666666666666668,21.6,37.666666666666664,19.666666666666668,0,-365.0,19.0
22022,1627759,22200606,2023-01-09,BOS vs. CHI,W,39,7,21,0.333,0,8,0.0,5,5,1.0,1,4,5,3,0,1,4,0,19,20,1,2022-23,40.0,27.666666666666668,27.0,38.333333333333336,21.666666666666668,1,-364.0,35.0
22023,1627759,22300517,2024-01-10,BOS vs. MIN,W,43,9,16,0.563,4,7,0.571,13,13,1.0,1,10,11,3,2,1,2,1,35,10,1,2023-24,19.0,24.333333333333332,26.6,38.333333333333336,20.0,1,366.0,28.0
22024,1627759,22400528,2025-01-10,BOS vs. SAC,L,35,9,19,0.474,1,5,0.2,9,11,0.818,1,0,1,5,1,1,1,2,28,-9,1,2024-25,35.0,31.333333333333332,27.4,40.0,21.0,1,366.0,41.0
22022,1627759,22200621,2023-01-11,BOS vs. NOP,W,35,15,21,0.714,3,6,0.5,8,9,0.889,4,8,12,0,0,1,2,3,41,18,1,2022-23,28.0,27.333333333333332,27.2,39.0,18.666666666666668,1,-730.0,10.0
22023,1627759,22300528,2024-01-11,BOS @ MIL,L,18,5,14,0.357,0,1,0.0,0,0,0.0,1,3,4,3,0,0,0,1,10,-17,1,2023-24,41.0,34.666666666666664,32.6,37.666666666666664,18.666666666666668,0,365.0,16.0
22024,1627759,22400542,2025-01-12,BOS vs. NOP,W,39,6,14,0.429,0,2,0.0,4,4,1.0,2,6,8,7,0,0,4,3,16,0,1,2024-25,10.0,26.333333333333332,26.6,29.333333333333332,18.0,1,367.0,32.0
